Side[S]	Cube	Blob	BlobSize	OptScore	Kval	Score	Time
2	c6x7x10	C17x20x29	9860	6500	8	6715	16531.5
2	c1x3x9	C2x8x26	416	200	8	200	18.1
8	c1x4x4	C8x35x35	9800	1608	512	1608	9384.9
10	c1x1x9	C10x10x98	9800	800	1000	800	847.0
5	c3x5x6	C17x29x35	17255	6005	125	6305	15409.0
6	c1x5x7	C6x34x48	9792	2232	216	2292	10207.2
3	c5x5x7	C19x19x27	9747	5022	27	5223	11431.9
4	c3x5x6	C14x24x29	9744	3984	64	4120	15547.1
1	c3x5x5	C5x9x9	405	330	1	330	0.8
1	c2x5x8	C3x9x15	405	325	1	325	3.2
3	c1x2x5	C3x7x19	399	129	27	129	1564.9
1	c2x4x10	C3x7x19	399	319	1	319	1.5
8	c1x2x8	C8x17x71	9656	1464	512	1464	6941.3
5	c1x7x8	C5x41x47	9635	2635	125	2704	11332.3
2	c1x5x5	C2x14x14	392	192	8	192	6.8
4	c3x3x10	C14x14x49	9604	3844	64	3971	11309.2
4	c1x10x10	C4x49x49	9604	3204	64	3317	9185.1
1	c3x4x6	C5x7x11	385	313	1	313	1563.2
4	c1x1x5	C4x4x24	384	64	64	64	0.3
3	c2x9x10	C7x35x39	9555	4695	27	4824	12629.7
1	c3x3x8	C5x5x15	375	303	1	303	0.6
2	c1x4x6	C2x11x17	374	182	8	182	0.5
4	c2x5x9	C9x24x44	9504	3744	64	3821	13375.9
6	c2x4x4	C13x27x27	9477	2565	216	2625	9158.8
2	c1x3x8	C2x8x23	368	176	8	176	1565.5
3	c1x3x3	C3x11x11	363	120	27	120	1125.9
1	c2x6x6	C3x11x11	363	291	1	291	0.4
2	c5x9x9	C14x26x26	9464	6224	8	6427	14417.7
9	c1x4x5	C9x39x49	17199	2619	729	2718	9366.3
2	c5x8x10	C14x23x29	9338	6138	8	6325	13746.5
1	c1x10x10	C1x19x19	361	261	1	261	4.9
3	c4x6x7	C15x23x27	9315	4779	27	4964	15024.1
6	c2x2x8	C13x13x55	9295	2383	216	2419	10530.2
1	c2x4x9	C3x7x17	357	285	1	285	1563.2
5	c1x6x9	C5x35x53	9275	2525	125	2600	8104.6
3	c1x1x10	C3x3x39	351	81	27	81	1125.8
10	c2x2x2	C21x21x21	9261	1261	1000	1261	4313.0
1	c2x5x7	C3x9x13	351	281	1	281	1564.8
2	c2x2x5	C5x5x14	350	190	8	190	1.7
2	c4x10x10	C11x29x29	9251	6051	8	6237	12561.6
5	c2x5x5	C11x29x29	9251	3001	125	3099	10951.3
4	c2x8x10	C9x39x49	17199	6959	64	7228	17296.0
3	c2x2x2	C7x7x7	343	127	27	127	0.5
1	c4x4x4	C7x7x7	343	279	1	279	1125.2
3	c3x7x8	C11x27x31	9207	4671	27	4805	13965.0
2	c7x7x8	C20x20x23	9200	6064	8	6246	14585.2
8	c1x3x5	C8x26x44	9152	1472	512	1488	8025.2
4	c3x4x7	C14x19x34	9044	3668	64	3745	14657.4
7	c1x5x8	C7x39x63	17199	3479	343	3575	13717.5
10	c1x2x4	C10x21x43	9030	1030	1000	1030	5508.4
2	c6x8x8	C17x23x23	8993	5921	8	6106	13423.0
5	c3x4x4	C17x23x23	8993	2993	125	3064	9152.7
1	c3x3x7	C5x5x13	325	262	1	262	1562.9
4	c1x2x2	C4x9x9	324	68	64	68	0.3
1	c1x9x10	C1x17x19	323	233	1	233	1566.9
2	c2x3x3	C5x8x8	320	176	8	176	1565.0
2	c1x3x7	C2x8x20	320	152	8	152	1564.2
7	c1x4x10	C7x31x79	17143	3423	343	3507	10303.6
6	c1x4x8	C6x27x55	8910	1998	216	2046	6468.2
3	c1x2x4	C3x7x15	315	99	27	99	0.4
3	c1x1x9	C3x3x35	315	72	27	72	1125.6
4	c2x6x7	C9x29x34	8874	3498	64	3608	10684.5
1	c3x4x5	C5x7x9	315	255	1	255	0.0
1	c2x4x8	C3x7x15	315	251	1	251	1563.6
7	c1x3x7	C7x23x55	8855	1652	343	1708	7634.6
3	c3x6x9	C11x23x35	8855	4481	27	4621	14425.4
2	c1x4x5	C2x11x14	308	148	8	148	1.6
5	c2x4x6	C11x23x35	8855	2855	125	2906	9230.3
4	c1x1x4	C4x4x19	304	48	64	48	1125.2
2	c6x7x9	C17x20x26	8840	5816	8	5994	13988.3
6	c2x3x5	C13x20x34	8840	2360	216	2409	11507.3
3	c4x5x8	C15x19x31	8835	4515	27	4690	13653.0
1	c2x5x6	C3x9x11	297	237	1	237	0.1
5	c2x3x8	C11x17x47	8789	2789	125	2829	9315.9
7	c2x2x5	C15x15x39	8775	1915	343	1948	6973.8
3	c4x4x10	C15x15x39	8775	4455	27	4604	11779.6
10	c1x1x8	C10x10x87	8700	700	1000	700	121.3
2	c1x2x10	C2x5x29	290	130	8	130	2.9
1	c1x9x9	C1x17x17	289	208	1	208	1126.3
4	c4x4x5	C19x19x24	8664	3544	64	3690	12353.8
1	c2x3x10	C3x5x19	285	225	1	225	1563.2
4	c3x3x9	C14x14x44	8624	3440	64	3527	13704.1
1	c1x8x10	C1x15x19	285	205	1	205	1.0
4	c1x9x10	C4x44x49	8624	2864	64	2944	10240.9
3	c2x9x9	C7x35x35	8575	4201	27	4321	12837.1
3	c1x1x8	C3x3x31	279	63	27	63	1125.5
5	c1x5x10	C5x29x59	8555	2305	125	2370	8531.9
5	c3x3x10	C17x17x59	17051	5801	125	6059	20891.3
2	c2x2x4	C5x5x11	275	147	8	147	1125.7
1	c3x3x6	C5x5x11	275	221	1	221	1125.1
5	c1x1x2	C5x5x11	275	25	125	25	0.3
1	c2x4x7	C3x7x13	273	217	1	217	1562.7
2	c1x3x6	C2x8x17	272	128	8	128	0.3
7	c1x4x5	C7x31x39	8463	1603	343	1603	4264.7
3	c2x8x10	C7x31x39	8463	4143	27	4260	8818.6
8	c1x2x7	C8x17x62	8432	1264	512	1264	7112.4
3	c5x6x10	C19x23x39	17043	8943	27	9375	18361.2
4	c2x5x8	C9x24x39	8424	3304	64	3363	13035.9
5	c1x7x7	C5x41x41	8405	2280	125	2335	8388.9
2	c6x6x10	C17x17x29	8381	5501	8	5655	13176.7
2	c1x2x9	C2x5x26	260	116	8	116	1126.1
5	c3x3x5	C17x17x29	8381	2756	125	2801	11959.9
9	c1x2x5	C9x19x49	8379	1089	729	1089	5001.3
4	c2x4x10	C9x19x49	8379	3259	64	3350	9706.4
2	c5x8x9	C14x23x26	8372	5492	8	5661	11636.9
6	c1x5x6	C6x34x41	8364	1884	216	1932	7099.1
1	c2x3x9	C3x5x17	255	201	1	201	0.2
1	c1x8x9	C1x15x17	255	183	1	183	1129.6
3	c5x5x6	C19x19x23	8303	4253	27	4415	12406.0
7	c1x2x10	C7x15x79	8295	1435	343	1449	5970.8
1	c1x7x10	C1x13x19	247	177	1	177	0.6
2	c4x9x10	C11x26x29	8294	5414	8	5568	9506.1
1	c3x4x4	C5x7x7	245	197	1	197	1125.0
6	c1x3x10	C6x20x69	8280	1800	216	1842	6869.0
3	c1x1x7	C3x3x27	243	54	27	54	0.3
6	c1x6x10	C6x41x69	16974	4014	216	4140	13062.3
1	c2x5x5	C3x9x9	243	193	1	193	0.1
2	c1x4x4	C2x11x11	242	114	8	114	1125.7
5	c1x6x8	C5x35x47	8225	2225	125	2255	10643.1
3	c3x5x10	C11x19x39	8151	4101	27	4226	12806.0
2	c5x7x10	C14x20x29	8120	5320	8	5481	12886.0
3	c1x2x3	C3x7x11	231	69	27	69	1125.6
1	c2x4x6	C3x7x11	231	183	1	183	1125.3
2	c1x2x8	C2x5x23	230	102	8	102	0.2
6	c2x2x7	C13x13x48	8112	2064	216	2113	10613.5
4	c3x5x5	C14x24x24	8064	3264	64	3373	12071.7
1	c3x3x5	C5x5x9	225	180	1	180	1125.2
1	c2x3x8	C3x5x15	225	177	1	177	0.2
1	c1x8x8	C1x15x15	225	161	1	161	1125.5
2	c1x3x5	C2x8x14	224	104	8	104	0.2
4	c1x1x3	C4x4x14	224	32	64	32	1125.3
9	c1x2x10	C9x19x99	16929	2349	729	2393	8382.1
1	c1x7x9	C1x13x17	221	158	1	158	1125.5
9	c1x1x10	C9x9x99	8019	729	729	729	4557.5
3	c3x7x7	C11x27x27	8019	4050	27	4182	11445.3
2	c7x7x7	C20x20x20	8000	5256	8	5411	14895.7
6	c3x3x3	C20x20x20	8000	2168	216	2217	9032.9
7	c2x3x3	C15x23x23	7935	1761	343	1761	8036.8
5	c2x5x9	C11x29x53	16907	5657	125	5893	17089.8
3	c4x6x6	C15x23x23	7935	4047	27	4209	12014.3
1	c1x6x10	C1x11x19	209	149	1	149	0.6
3	c4x4x9	C15x15x35	7875	3987	27	4114	9258.1
3	c3x6x8	C11x23x31	7843	3955	27	4083	10962.7
3	c1x1x6	C3x3x23	207	45	27	45	1125.4
2	c6x7x8	C17x20x23	7820	5132	8	5310	9926.8
6	c1x4x7	C6x27x48	7776	1728	216	1776	6547.7
6	c2x4x7	C13x27x48	16848	4752	216	4917	17326.7
2	c2x2x3	C5x5x8	200	104	8	104	0.1
2	c1x2x7	C2x5x20	200	88	8	88	1125.9
4	c1x9x9	C4x44x44	7744	2560	64	2636	8528.1
4	c3x4x6	C14x19x29	7714	3106	64	3173	11945.8
3	c4x5x7	C15x19x27	7695	3915	27	4035	11667.4
1	c2x3x7	C3x5x13	195	153	1	153	1125.3
1	c1x7x8	C1x13x15	195	139	1	139	1125.3
5	c1x5x9	C5x29x53	7685	2060	125	2105	9212.7
5	c2x3x7	C11x17x41	7667	2417	125	2467	9179.6
4	c3x3x8	C14x14x39	7644	3036	64	3123	10709.9
4	c1x8x10	C4x39x49	7644	2524	64	2580	9527.6
1	c2x4x5	C3x7x9	189	149	1	149	0.0
10	c1x1x7	C10x10x76	7600	600	1000	600	3031.9
3	c2x8x9	C7x31x35	7595	3707	27	3797	10550.3
2	c7x10x10	C20x29x29	16820	11220	8	11616	21064.9
1	c1x6x9	C1x11x17	187	133	1	133	1125.2
9	c1x3x3	C9x29x29	7569	1008	729	1008	2276.7
4	c2x6x6	C9x29x29	7569	2961	64	3050	11871.9
7	c1x3x6	C7x23x47	7567	1393	343	1407	6802.2
4	c2x4x9	C9x19x44	7524	2916	64	3000	9681.4
2	c6x6x9	C17x17x26	7514	4922	8	5063	11969.6
8	c2x2x3	C17x17x26	7514	1370	512	1370	7521.8
2	c1x3x4	C2x8x11	176	80	8	80	1125.2
7	c1x2x9	C7x15x71	7455	1281	343	1337	4636.3
1	c3x3x4	C5x5x7	175	139	1	139	1125.1
6	c1x3x9	C6x20x62	7440	1608	216	1650	6813.8
2	c4x9x9	C11x26x26	7436	4844	8	4973	10410.1
2	c5x8x8	C14x23x23	7406	4846	8	4997	11916.3
3	c1x1x5	C3x3x19	171	36	27	36	0.3
1	c2x2x10	C3x3x19	171	131	1	131	0.1
1	c1x5x10	C1x9x19	171	121	1	121	0.1
2	c1x2x6	C2x5x17	170	74	8	74	1125.5
3	c2x7x10	C7x27x39	7371	3591	27	3691	9206.6
1	c1x7x7	C1x13x13	169	120	1	120	0.3
4	c2x5x7	C9x24x34	7344	2864	64	2933	11499.7
2	c4x8x10	C11x23x29	7337	4777	8	4907	13281.4
5	c2x4x5	C11x23x29	7337	2337	125	2372	8968.7
3	c6x7x7	C23x27x27	16767	8829	27	9261	17563.0
1	c2x3x6	C3x5x11	165	129	1	129	1125.1
1	c1x6x8	C1x11x15	165	117	1	117	0.2
3	c3x5x9	C11x19x35	7315	3670	27	3735	11945.9
2	c5x7x9	C14x20x26	7280	4760	8	4893	10139.8
8	c1x3x4	C8x26x35	7280	1136	512	1136	3525.7
9	c1x1x9	C9x9x89	7209	648	729	648	284.3
8	c1x2x6	C8x17x53	7208	1064	512	1064	7393.4
5	c1x6x7	C5x35x41	7175	1925	125	1974	7206.8
5	c2x2x10	C11x11x59	7139	2139	125	2169	7310.2
1	c2x2x9	C3x3x17	153	117	1	117	0.0
1	c1x5x9	C1x9x17	153	108	1	108	0.4
3	c3x10x10	C11x39x39	16731	8631	27	8955	19221.2
6	c2x3x4	C13x20x27	7020	1836	216	1836	6926.1
3	c1x2x2	C3x7x7	147	39	27	39	0.1
1	c2x4x4	C3x7x7	147	115	1	115	0.1
4	c5x5x6	C24x24x29	16704	7104	64	7503	16651.6
7	c2x2x4	C15x15x31	6975	1487	343	1487	6253.3
3	c4x4x8	C15x15x31	6975	3519	27	3623	10400.4
4	c1x1x2	C4x4x9	144	16	64	16	0.3
1	c1x6x7	C1x11x13	143	101	1	101	1125.0
6	c1x5x5	C6x34x34	6936	1536	216	1548	7546.5
2	c1x2x5	C2x5x14	140	60	8	60	1125.4
6	c2x2x6	C13x13x41	6929	1745	216	1745	7018.1
8	c1x3x9	C8x26x80	16640	2816	512	2912	11036.1
2	c5x6x10	C14x17x29	6902	4502	8	4635	10839.3
4	c1x8x9	C4x39x44	6864	2256	64	2319	7128.1
3	c1x1x4	C3x3x15	135	27	27	27	0.1
9	c2x2x2	C19x19x19	6859	1027	729	1027	2849.9
1	c2x3x5	C3x5x9	135	105	1	105	1125.1
1	c2x2x8	C3x3x15	135	103	1	103	1125.1
4	c4x4x4	C19x19x19	6859	2763	64	2842	10429.0
1	c1x5x8	C1x9x15	135	95	1	95	0.0
3	c5x5x5	C19x19x19	6859	3484	27	3584	10434.1
1	c10x10x10	C19x19x19	6859	5859	1	5889	6863.6
1	c1x4x10	C1x7x19	133	93	1	93	0.1
3	c3x6x7	C11x23x27	6831	3429	27	3540	11986.7
5	c1x5x8	C5x29x47	6815	1815	125	1860	6913.3
2	c6x7x7	C17x20x20	6800	4448	8	4580	13318.4
4	c3x5x10	C14x24x49	16464	6864	64	7227	15655.9
5	c1x4x10	C5x23x59	6785	1785	125	1825	6641.2
2	c1x3x3	C2x8x8	128	56	8	56	0.1
2	c3x10x10	C8x29x29	6728	4328	8	4436	10328.0
7	c1x4x4	C7x31x31	6727	1239	343	1239	4296.5
3	c2x8x8	C7x31x31	6727	3271	27	3359	9611.5
10	c1x2x3	C10x21x32	6720	720	1000	720	90.6
2	c2x2x2	C5x5x5	125	61	8	61	1125.4
6	c3x3x6	C20x20x41	16400	4736	216	4891	16696.3
1	c3x3x3	C5x5x5	125	98	1	98	0.0
9	c1x2x4	C9x19x39	6669	837	729	837	803.7
1	c1x6x6	C1x11x11	121	85	1	85	0.1
4	c2x4x8	C9x19x39	6669	2573	64	2625	9365.3
7	c3x3x4	C23x23x31	16399	4051	343	4192	13404.6
4	c3x3x7	C14x14x34	6664	2632	64	2683	8459.1
4	c1x7x10	C4x34x49	6664	2184	64	2228	8232.4
1	c1x4x9	C1x7x17	119	83	1	83	1125.1
2	c6x6x8	C17x17x23	6647	4343	8	4468	7891.5
5	c3x3x4	C17x17x23	6647	2147	125	2166	11339.7
6	c1x4x6	C6x27x41	6642	1458	216	1494	7553.2
1	c2x2x7	C3x3x13	117	89	1	89	0.0
1	c1x5x7	C1x9x13	117	82	1	82	1125.1
2	c1x1x10	C2x2x29	116	36	8	36	0.1
3	c6x6x8	C23x23x31	16399	8623	27	9065	19033.6
7	c1x2x8	C7x15x63	6615	1127	343	1127	3894.3
3	c2x7x9	C7x27x35	6615	3213	27	3294	10077.8
6	c1x3x8	C6x20x55	6600	1416	216	1416	5488.9
2	c1x2x4	C2x5x11	110	46	8	46	0.1
2	c4x8x9	C11x23x26	6578	4274	8	4383	11117.5
3	c4x5x6	C15x19x23	6555	3315	27	3390	10976.7
5	c2x3x6	C11x17x35	6545	2045	125	2080	9721.4
10	c1x1x6	C10x10x65	6500	500	1000	500	2525.5
1	c2x3x4	C3x5x7	105	81	1	81	1125.0
1	c1x4x8	C1x7x15	105	73	1	73	1125.1
2	c1x1x9	C2x2x26	104	32	8	32	1125.2
3	c3x5x8	C11x19x31	6479	3239	27	3334	9113.8
2	c5x7x8	C14x20x23	6440	4200	8	4322	8821.1
3	c3x4x10	C11x15x39	6435	3195	27	3269	9547.6
5	c2x2x9	C11x11x53	6413	1913	125	1943	8096.3
3	c1x1x3	C3x3x11	99	18	27	18	0.1
1	c2x2x6	C3x3x11	99	75	1	75	1125.1
1	c1x5x6	C1x9x11	99	69	1	69	0.0
9	c1x1x8	C9x9x79	6399	567	729	567	3064.0
4	c3x4x5	C14x19x24	6384	2544	64	2637	8388.0
2	c4x7x10	C11x20x29	6380	4140	8	4242	10926.4
1	c1x3x10	C1x5x19	95	65	1	65	1125.0
3	c4x8x9	C15x31x35	16275	8499	27	8892	20695.1
2	c1x1x8	C2x2x23	92	28	8	28	1125.1
1	c1x4x7	C1x7x13	91	63	1	63	0.0
7	c1x3x5	C7x23x39	6279	1134	343	1134	4406.0
3	c2x6x10	C7x23x39	6279	3039	27	3107	9158.3
7	c2x3x6	C15x23x47	16215	3867	343	3970	15590.3
4	c2x5x6	C9x24x29	6264	2424	64	2465	8075.6
4	c3x7x7	C14x34x34	16184	6776	64	7128	17281.9
1	c1x3x9	C1x5x17	85	58	1	58	1125.1
2	c5x6x9	C14x17x26	6188	4028	8	4139	9133.6
4	c2x3x10	C9x14x49	6174	2334	64	2376	8695.0
1	c9x10x10	C17x19x19	6137	5237	1	5260	7052.1
5	c1x6x6	C5x35x35	6125	1625	125	1660	5679.6
1	c2x2x5	C3x3x9	81	61	1	61	0.0
1	c1x5x5	C1x9x9	81	56	1	56	1125.0
5	c1x4x9	C5x23x53	6095	1595	125	1630	8254.6
2	c1x2x3	C2x5x8	80	32	8	32	0.1
2	c1x1x7	C2x2x20	80	24	8	24	1125.1
4	c1x8x8	C4x39x39	6084	1988	64	2028	8908.3
3	c4x4x7	C15x15x27	6075	3051	27	3135	10104.5
2	c3x9x10	C8x26x29	6032	3872	8	3958	8619.9
1	c1x4x6	C1x7x11	77	53	1	53	1125.0
4	c1x7x9	C4x34x44	5984	1952	64	1984	7884.0
8	c1x2x5	C8x17x44	5984	864	512	864	5307.0
6	c2x3x9	C13x20x62	16120	4456	216	4575	13528.8
1	c2x3x3	C3x5x5	75	57	1	57	0.0
1	c1x3x8	C1x5x15	75	51	1	51	1125.0
5	c1x5x7	C5x29x41	5945	1570	125	1605	7690.9
3	c2x7x8	C7x27x31	5859	2835	27	2894	7027.2
2	c4x8x8	C11x23x23	5819	3771	8	3861	9483.7
3	c3x6x6	C11x23x23	5819	2903	27	2958	11746.5
2	c1x1x6	C2x2x17	68	20	8	20	1125.1
5	c2x4x4	C11x23x23	5819	1819	125	1829	8006.6
4	c2x4x7	C9x19x34	5814	2230	64	2274	7826.2
2	c6x6x7	C17x17x20	5780	3764	8	3874	10118.8
1	c1x3x7	C1x5x13	65	44	1	44	1125.0
7	c1x2x7	C7x15x55	5775	973	343	973	6298.2
5	c3x4x7	C17x23x41	16031	5531	125	5803	15676.4
3	c3x4x9	C11x15x35	5775	2859	27	2906	11670.9
6	c1x3x7	C6x20x48	5760	1224	216	1224	5437.6
3	c1x1x2	C3x3x7	63	9	27	9	1125.1
1	c2x2x4	C3x3x7	63	47	1	47	0.0
1	c1x4x5	C1x7x9	63	43	1	43	0.0
6	c2x2x5	C13x13x34	5746	1426	216	1426	8113.6
9	c2x3x3	C19x29x29	15979	2857	729	2857	10948.4
2	c4x7x9	C11x20x26	5720	3704	8	3793	9759.6
8	c1x1x10	C8x8x89	5696	576	512	576	76.6
5	c2x2x8	C11x11x47	5687	1687	125	1697	7301.6
2	c5x5x10	C14x14x29	5684	3684	8	3769	9658.6
4	c3x3x6	C14x14x29	5684	2228	64	2277	7423.5
4	c1x6x10	C4x29x49	5684	1844	64	1872	6846.3
4	c4x6x6	C19x29x29	15979	6763	64	7150	21102.0
3	c3x5x7	C11x19x27	5643	2808	27	2877	9568.8
3	c2x6x9	C7x23x35	5635	2719	27	2755	9690.7
2	c5x7x7	C14x20x20	5600	3640	8	3744	9149.5
1	c1x2x10	C1x3x19	57	37	1	37	0.0
9	c1x1x7	C9x9x69	5589	486	729	486	93.8
7	c2x2x9	C15x15x71	15975	3627	343	3705	11142.4
2	c1x1x5	C2x2x14	56	16	8	16	750.0
4	c2x3x9	C9x14x44	5544	2088	64	2128	7225.8
1	c1x3x6	C1x5x11	55	37	1	37	0.0
6	c1x4x5	C6x27x34	5508	1188	216	1200	7293.9
10	c1x2x7	C10x21x76	15960	1960	1000	1960	6884.9
1	c9x9x10	C17x17x19	5491	4681	1	4701	6076.8
2	c5x6x8	C14x17x23	5474	3554	8	3647	11399.4
3	c5x7x8	C19x27x31	15903	8343	27	8714	18881.9
2	c4x6x10	C11x17x29	5423	3503	8	3588	10596.5
5	c2x3x5	C11x17x29	5423	1673	125	1698	7769.4
3	c4x5x5	C15x19x19	5415	2715	27	2781	8413.0
1	c1x2x9	C1x3x17	51	33	1	33	0.0
1	c8x10x10	C15x19x19	5415	4615	1	4633	6867.7
2	c3x9x9	C8x26x26	5408	3464	8	3544	9060.2
8	c1x3x3	C8x26x26	5408	800	512	800	715.7
5	c1x4x8	C5x23x47	5405	1405	125	1434	5044.8
2	c1x2x2	C2x5x5	50	18	8	18	750.1
10	c1x1x5	C10x10x54	5400	400	1000	400	63.9
4	c4x4x9	C19x19x44	15884	6668	64	7045	16884.7
1	c1x4x4	C1x7x7	49	33	1	33	750.0
6	c1x2x10	C6x13x69	5382	1062	216	1062	2443.5
2	c3x8x10	C8x23x29	5336	3416	8	3507	7704.3
6	c1x7x8	C6x48x55	15840	3744	216	3868	13261.2
4	c1x7x8	C4x34x39	5304	1720	64	1747	7183.7
4	c3x6x8	C14x29x39	15834	6618	64	6863	17826.7
1	c2x2x3	C3x3x5	45	33	1	33	750.0
1	c1x3x5	C1x5x9	45	30	1	30	0.0
1	c1x2x8	C1x3x15	45	29	1	29	0.0
6	c2x3x3	C13x20x20	5200	1312	216	1312	7674.4
2	c1x1x4	C2x2x11	44	12	8	12	0.0
3	c2x5x10	C7x19x39	5187	2487	27	2530	8566.2
4	c2x5x5	C9x24x24	5184	1984	64	2032	7208.1
3	c4x7x10	C15x27x39	15795	8235	27	8605	19846.7
